Voltage	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent
	YSR-1-25A			YSR-1-25B			YSR-1-25C			YSR-1-25D			YSR-1-25E			YSR-1-25F			YSR-1-25G		
0.15	2.594	2.594	1.01E-05	2.63E-07	-1.58E-07	-6.11E-13	11.07	6.6418	2.58E-05	1.8376	1.1026	4.28E-06	3.3478	2.0087	7.79E-06	3.54E-07	-2.12E-07	-8.23E-13	14.75	8.85	3.43E-05
0.1	1.946	1.946	7.55E-06	2.52E-07	-1.51E-07	-5.88E-13	8.3072	4.9843	1.93E-05	1.3787	0.82722	3.21E-06	2.5123	1.5074	5.85E-06	4.19E-07	-2.51E-07	-9.73E-13	13.14	7.884	3.06E-05
0.05	1.298	1.298	5.04E-06	4.48E-07	-2.69E-07	-1.04E-12	5.5414	3.3248	1.29E-05	0.91942	0.55165	2.14E-06	1.6758	1.0055	3.90E-06	3.63E-07	-2.18E-07	-8.44E-13	8.4035	5.0421	1.96E-05
0	0.6502	0.6502	2.52E-06	4.61E-07	-2.77E-07	-1.07E-12	2.7743	1.6646	6.46E-06	0.46022	0.27613	1.07E-06	0.83898	0.50339	1.95E-06	3.63E-07	-2.18E-07	-8.44E-13	3.6889	2.2134	8.58E-06
-0.05	2.58E-05	2.58E-05	9.99E-11	2.77E-07	-1.66E-07	-6.45E-13	0.00019437	0.00011662	4.54E-10	3.79E-05	2.28E-05	8.83E-11	1.42E-05	7.92E-06	3.07E-11	3.65E-07	-1.76E-07	-6.84E-13	0.00037104	0.00022263	8.63E-10
-0.1	0.6472	-0.6472	-2.51E-06	2.46E-07	-1.48E-07	-5.73E-13	2.7609	-1.6566	-6.43E-06	0.45796	-0.27478	-1.07E-06	0.83497	-0.50098	-1.94E-06	3.86E-07	-2.32E-07	-8.98E-13	3.6124	-2.1675	-8.40E-06
-0.15	1.296	-1.296	-5.03E-06	2.40E-07	-1.44E-07	-5.56E-13	5.528	-3.3168	-1.29E-05	0.91669	-0.55002	-2.13E-06	1.6718	-1.0031	-3.89E-06	3.87E-07	-2.32E-07	-9.03E-13	7.2653	-4.3592	-1.69E-05
-0.2	1.942	-1.942	-7.54E-06	2.45E-07	-1.47E-07	-5.71E-13	8.2943	-4.9766	-1.93E-05	1.3752	-0.8251	-3.20E-06	2.5082	-1.5049	-5.84E-06	5.04E-07	-3.03E-07	-1.17E-12	10.957	-6.5742	-2.55E-05
-0.25	2.588	-2.588	-1.00E-05	2.60E-07	-1.56E-07	-6.06E-13	11.058	-6.6346	-2.57E-05	1.8329	-1.0997	-4.27E-06	3.3437	-2.0062	-7.78E-06	5.23E-07	-3.14E-07	-1.22E-12	14.658	-8.7949	-3.41E-05
-0.3	3.236	-3.236	-1.26E-05	2.39E-07	-1.43E-07	-5.54E-13	13.819	-8.2917	-3.22E-05	2.2902	-1.3741	-5.33E-06	4.1788	-2.5073	-9.72E-06	5.23E-07	-3.14E-07	-1.22E-12	18.356	-11.013	-4.27E-05
-0.35	3.88	-3.88	-1.50E-05	1.90E-07	-1.14E-07	-4.43E-13	16.587	-9.9521	-3.86E-05	2.7484	-1.649	-6.39E-06	5.0155	-3.0093	-1.17E-05	6.34E-07	-3.80E-07	-1.47E-12	22.058	-13.235	-5.13E-05
-0.4	4.528	-4.528	-1.75E-05	2.26E-07	-1.36E-07	-5.27E-13	19.354	-11.612	-4.51E-05	3.2066	-1.924	-7.46E-06	5.8523	-3.5114	-1.36E-05	5.56E-07	-3.34E-07	-1.30E-12	25.77	-15.462	-6.00E-05
-0.45	5.17	-5.17	-2.01E-05	2.25E-07	-1.35E-07	-5.22E-13	22.123	-13.274	-5.15E-05	3.665	-2.199	-8.54E-06	6.6893	-4.0136	-1.56E-05	5.94E-07	-3.57E-07	-1.38E-12	29.49	-17.694	-6.86E-05
-0.5	5.814	-5.814	-2.26E-05	2.34E-07	-1.40E-07	-5.44E-13	24.884	-14.931	-5.79E-05	4.1221	-2.4733	-9.60E-06	7.5245	-4.5147	-1.75E-05	6.38E-07	-3.83E-07	-1.48E-12	33.195	-19.917	-7.73E-05
-0.5	6.458	-6.458	-2.51E-05	2.27E-07	-1.36E-07	-5.28E-13	27.648	-16.589	-6.44E-05	4.5794	-2.7476	-1.07E-05	8.3599	-5.0159	-1.95E-05	6.15E-07	-3.69E-07	-1.43E-12	36.918	-22.151	-8.59E-05
-0.45	6.458	-6.458	-2.51E-05	8.25E-08	-3.69E-08	-1.43E-13	27.647	-16.588	-6.44E-05	4.5794	-2.7477	-1.07E-05	8.3599	-5.0159	-1.95E-05	4.50E-07	-2.70E-07	-1.05E-12	36.932	-22.159	-8.59E-05
-0.4	5.814	-5.814	-2.26E-05	8.29E-08	4.97E-08	1.93E-13	24.884	-14.93	-5.79E-05	4.1221	-2.4732	-9.60E-06	7.5244	-4.5147	-1.75E-05	2.02E-07	-1.21E-07	-4.70E-13	33.237	-19.942	-7.74E-05
-0.35	5.174	-5.174	-2.01E-05	9.68E-08	5.81E-08	2.25E-13	22.121	-13.273	-5.15E-05	3.6649	-2.1989	-8.54E-06	6.6891	-4.0135	-1.56E-05	1.42E-07	-8.51E-08	-3.31E-13	29.541	-17.725	-6.88E-05
-0.3	4.528	-4.528	-1.75E-05	9.44E-08	5.66E-08	2.19E-13	19.353	-11.612	-4.51E-05	3.2065	-1.9239	-7.46E-06	5.8521	-3.5113	-1.36E-05	1.17E-07	-6.12E-08	-2.37E-13	25.846	-15.507	-6.01E-05
