3.26E-10,8.33E-10,3.20E-10,4.84E-10,2.86E-10,3.41E-10,7.46E-10,5.03E-10,5.60E-10,3.28E-10,4.73E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00014026,8.42E-05,3.26E-10
8.33E-10,,,,,,,,,,,,8.10E+00,,-4.86294,,-1.89E-05,,,,,,,,,,0.00035727,0.00021436,8.33E-10
6.39E-10,,,,,,,,,,,,4.06E+00,,-2.43495,,-9.46E-06,,,,,,,,,,0.00027492,0.00016495,6.39E-10
8.40E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6128,2.1677,8.40E-06
1.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.2595,4.3557,1.69E-05
2.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,10.887,6.5323,2.53E-05
3.38E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.511,8.7067,3.38E-05
4.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.153,10.892,4.22E-05
5.11E-05,,,,,,,,,,,,,,,,,,,,,,,,,,21.964,13.179,5.11E-05
5.98E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.685,15.411,5.98E-05
6.83E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.356,17.614,6.83E-05
7.68E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.024,19.814,7.68E-05
8.54E-05,,,,,,,,,,,,,,,,,,,,,,,,,,36.698,22.019,8.54E-05
8.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,36.753,22.052,8.55E-05
7.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.157,19.894,7.72E-05
6.86E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.491,17.694,6.86E-05
6.01E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.805,15.483,6.01E-05
5.15E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.119,13.271,5.15E-05
4.29E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.435,11.061,4.29E-05
