3.82E-11,9.07E-11,5.17E-11,9.72E-11,1.02E-10,7.61E-11,3.81E-11,6.85E-11,4.18E-11,7.53E-11,6.80E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.64E-05,9.84E-06,3.82E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83856,0.50314,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6749,1.0049,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5108,1.5065,5.84E-06
7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3458,2.0075,7.79E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1801,2.5081,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0164,3.0098,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8526,3.5116,1.36E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6891,4.0135,1.56E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5242,4.5145,1.75E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3591,5.0155,1.95E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.359,5.0154,1.95E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.524,4.5144,1.75E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6888,4.0133,1.56E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8523,3.5114,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0161,3.0097,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,2.508,9.72E-06
7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3457,2.0074,7.79E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5107,1.5064,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6748,1.0049,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83854,0.50312,1.95E-06
4.69E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.04E-05,1.21E-05,4.69E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83454,-0.50073,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6709,-1.0025,-3.89E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5069,-1.5042,-5.84E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3419,-2.0052,-7.78E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1768,-2.5061,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0132,-3.0079,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8496,-3.5098,-1.36E-05
-1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6865,-4.0119,-1.56E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5214,-4.5128,-1.75E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3565,-5.0139,-1.95E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3565,-5.0139,-1.95E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5213,-4.5128,-1.75E-05
-1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6865,-4.0119,-1.56E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8496,-3.5098,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0132,-3.0079,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1768,-2.5061,-9.72E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.342,-2.0052,-7.78E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5069,-1.5042,-5.84E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6709,-1.0025,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83456,-0.50074,-1.94E-06
1.02E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.38E-05,2.63E-05,1.02E-10
5.44E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.35E-05,1.40E-05,5.44E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83844,0.50306,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6746,1.0048,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5105,1.5063,5.84E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3455,2.0073,7.78E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1796,2.5078,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0157,3.0094,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8519,3.5111,1.36E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6883,4.013,1.56E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5234,4.5141,1.75E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3581,5.0149,1.95E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3581,5.0149,1.95E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5233,4.514,1.75E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6882,4.0129,1.56E-05
