8.57E-08,8.92E-08,-7.02E-08,-4.13E-08,8.34E-08,4.95E-08,6.36E-08,9.00E-08,7.87E-08,6.84E-08,4.97E-08,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.70E-07,8.57E-08,3.32E-13
9.22E-08,0.000000335,0.000000114,7.08E-08,8.46E-08,9.08E-09,1.06E-08,6.26E-08,5.46E-08,8.11E-08,9.15E-08,,1.88E-07,,7.7418E-08,,7.74E-08,,,,,,,,,,1.54E-07,9.22E-08,3.58E-13
8.92E-08,,,,,,,,,,,,1.69E-07,,7.704E-08,,7.70E-08,,,,,,,,,,1.49E-07,8.92E-08,3.46E-13
5.30E-08,,,,,,,,,,,,1.91E-07,,9.1458E-08,,9.15E-08,,,,,,,,,,8.92E-08,5.30E-08,2.05E-13
3.76E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.85E-07,3.76E-08,1.46E-13
-1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,3.77E-07,-1.00E-07,-3.88E-13
1.78E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.97E-07,1.78E-07,6.89E-13
1.18E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.97E-07,1.18E-07,4.57E-13
4.32E-07,,,,,,,,,,,,,,,,,,,,,,,,,,7.20E-07,4.32E-07,1.67E-12
-1.01E-08,,,,,,,,,,,,,,,,,,,,,,,,,,2.50E-07,-1.01E-08,-3.88E-14
-3.61E-08,,,,,,,,,,,,,,,,,,,,,,,,,,3.23E-07,-3.61E-08,-1.40E-13
1.96E-07,,,,,,,,,,,,,,,,,,,,,,,,,,3.27E-07,1.96E-07,7.60E-13
2.76E-07,,,,,,,,,,,,,,,,,,,,,,,,,,4.61E-07,2.76E-07,1.07E-12
1.41E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.35E-07,1.41E-07,5.48E-13
3.25E-08,,,,,,,,,,,,,,,,,,,,,,,,,,8.72E-08,3.25E-08,1.26E-13
-6.66E-08,,,,,,,,,,,,,,,,,,,,,,,,,,2.22E-07,-6.66E-08,-2.58E-13
-1.32E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.90E-07,-1.32E-07,-5.13E-13
-2.15E-07,,,,,,,,,,,,,,,,,,,,,,,,,,3.58E-07,-2.15E-07,-8.32E-13
-1.14E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.35E-07,-1.14E-07,-4.43E-13
1.24E-08,,,,,,,,,,,,,,,,,,,,,,,,,,2.73E-07,1.24E-08,4.80E-14
-1.58E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.63E-07,-1.58E-07,-6.11E-13
-1.51E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.52E-07,-1.51E-07,-5.88E-13
-2.69E-07,,,,,,,,,,,,,,,,,,,,,,,,,,4.48E-07,-2.69E-07,-1.04E-12
-2.77E-07,,,,,,,,,,,,,,,,,,,,,,,,,,4.61E-07,-2.77E-07,-1.07E-12
-1.66E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.77E-07,-1.66E-07,-6.45E-13
-1.48E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.46E-07,-1.48E-07,-5.73E-13
-1.44E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.40E-07,-1.44E-07,-5.56E-13
-1.47E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.45E-07,-1.47E-07,-5.71E-13
-1.56E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E-07,-1.56E-07,-6.06E-13
-1.43E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.39E-07,-1.43E-07,-5.54E-13
-1.14E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.90E-07,-1.14E-07,-4.43E-13
-1.36E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.26E-07,-1.36E-07,-5.27E-13
-1.35E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.25E-07,-1.35E-07,-5.22E-13
-1.40E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.34E-07,-1.40E-07,-5.44E-13
-1.36E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.27E-07,-1.36E-07,-5.28E-13
-3.69E-08,,,,,,,,,,,,,,,,,,,,,,,,,,8.25E-08,-3.69E-08,-1.43E-13
4.97E-08,,,,,,,,,,,,,,,,,,,,,,,,,,8.29E-08,4.97E-08,1.93E-13
5.81E-08,,,,,,,,,,,,,,,,,,,,,,,,,,9.68E-08,5.81E-08,2.25E-13
5.66E-08,,,,,,,,,,,,,,,,,,,,,,,,,,9.44E-08,5.66E-08,2.19E-13
9.29E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.55E-07,9.29E-08,3.60E-13
6.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.06E-07,6.38E-08,2.47E-13
1.04E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.92E-07,1.04E-07,4.05E-13
1.99E-07,,,,,,,,,,,,,,,,,,,,,,,,,,3.32E-07,1.99E-07,7.73E-13
4.91E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.71E-07,4.91E-08,1.90E-13
3.35E-07,,,,,,,,,,,,,,,,,,,,,,,,,,5.59E-07,3.35E-07,1.30E-12
-7.02E-08,,,,,,,,,,,,,,,,,,,,,,,,,,3.35E-07,-7.02E-08,-2.72E-13
-5.37E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.52E-07,-5.37E-08,-2.09E-13
-8.07E-08,,,,,,,,,,,,,,,,,,,,,,,,,,3.69E-07,-8.07E-08,-3.13E-13
1.70E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.83E-07,1.70E-07,6.58E-13
3.87E-07,,,,,,,,,,,,,,,,,,,,,,,,,,6.74E-07,3.87E-07,1.50E-12
2.87E-07,,,,,,,,,,,,,,,,,,,,,,,,,,4.78E-07,2.87E-07,1.11E-12
1.54E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.57E-07,1.54E-07,5.99E-13
8.99E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.50E-07,8.99E-08,3.48E-13
1.10E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.83E-07,1.10E-07,4.26E-13
1.35E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.24E-07,1.35E-07,5.22E-13
8.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.40E-07,8.38E-08,3.24E-13
7.71E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.28E-07,7.71E-08,2.99E-13
4.49E-09,,,,,,,,,,,,,,,,,,,,,,,,,,2.75E-08,4.49E-09,1.74E-14
-9.03E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.51E-07,-9.03E-08,-3.50E-13
-1.11E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.84E-07,-1.11E-07,-4.30E-13
-1.14E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.90E-07,-1.14E-07,-4.41E-13
-1.53E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.55E-07,-1.53E-07,-5.92E-13
-1.99E-07,,,,,,,,,,,,,,,,,,,,,,,,,,3.32E-07,-1.99E-07,-7.74E-13
-9.11E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.59E-07,-9.11E-08,-3.53E-13
-1.51E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.52E-07,-1.51E-07,-5.86E-13
-7.91E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.61E-07,-7.91E-08,-3.07E-13
-1.67E-08,,,,,,,,,,,,,,,,,,,,,,,,,,3.85E-07,-1.67E-08,-6.46E-14
-2.66E-07,,,,,,,,,,,,,,,,,,,,,,,,,,4.44E-07,-2.66E-07,-1.03E-12
-2.60E-07,,,,,,,,,,,,,,,,,,,,,,,,,,4.82E-07,-2.60E-07,-1.01E-12
-1.51E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.52E-07,-1.51E-07,-5.86E-13
-6.73E-08,,,,,,,,,,,,,,,,,,,,,,,,,,2.72E-07,-6.73E-08,-2.61E-13
-1.39E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.32E-07,-1.39E-07,-5.40E-13
-1.73E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.88E-07,-1.73E-07,-6.71E-13
-4.54E-08,,,,,,,,,,,,,,,,,,,,,,,,,,3.04E-07,-4.54E-08,-1.76E-13
-1.44E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.39E-07,-1.44E-07,-5.56E-13
-1.88E-07,,,,,,,,,,,,,,,,,,,,,,,,,,3.13E-07,-1.88E-07,-7.30E-13
-8.98E-08,,,,,,,,,,,,,,,,,,,,,,,,,,2.31E-07,-8.98E-08,-3.48E-13
-1.56E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E-07,-1.56E-07,-6.04E-13
-3.80E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.25E-07,-3.80E-08,-1.48E-13
1.09E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.81E-07,1.09E-07,4.22E-13
5.64E-08,,,,,,,,,,,,,,,,,,,,,,,,,,9.72E-08,5.64E-08,2.19E-13
-1.77E-07,,,,,,,,,,,,,,,,,,,,,,,,,,4.64E-07,-1.77E-07,-6.92E-13
1.01E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.05E-07,1.01E-07,3.90E-13
1.08E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.86E-07,1.08E-07,4.18E-13
6.30E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.05E-07,6.30E-08,2.45E-13
1.28E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.13E-07,1.28E-07,4.95E-13
1.04E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.74E-07,1.04E-07,4.04E-13
1.14E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.89E-07,1.14E-07,4.41E-13
-4.13E-08,,,,,,,,,,,,,,,,,,,,,,,,,,3.59E-07,-4.13E-08,-1.61E-13
-4.32E-08,,,,,,,,,,,,,,,,,,,,,,,,,,9.67E-08,-4.32E-08,-1.68E-13
1.08E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.79E-07,1.08E-07,4.17E-13
8.94E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E-07,8.94E-08,3.46E-13
1.97E-07,,,,,,,,,,,,,,,,,,,,,,,,,,3.44E-07,1.97E-07,7.63E-13
4.98E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.31E-07,4.98E-08,1.93E-13
4.88E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.36E-07,4.88E-08,1.90E-13
1.22E-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.03E-07,1.22E-07,4.73E-13
7.77E-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.69E-07,7.77E-08,3.02E-13
1.13E-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.89E-07,1.13E-07,4.39E-13
3.06E-08,,,,,,,,,,,,,,,,,,,,,,,,,,2.07E-07,3.06E-08,1.18E-13
