1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
1.12E-11,3.32E-11,2.13E-11,1.39E-11,2.48E-11,1.93E-11,2.08E-11,1.47E-11,1.85E-11,9.95E-12,1.88E-11,,3.24E+00,,-3.24,,1.95E-11,,,,,,,,,,1.94E+00,-1.94E+00,1.12E-11
1.29E-11,1.71E-11,1.74E-11,1.37E-11,2.01E-11,2.59E-11,2.2E-11,1.42E-11,1.46E-11,1.15E-11,1.69E-11,,2.59E+00,,-2.59,,1.93E-11,,,,,,,,,,1.30E+00,-1.30E+00,1.29E-11
1.54E-11,5.59E-11,1.89E-11,1.18E-11,1.95E-11,2.1E-11,9.77E-12,1.1E-11,1.2E-11,1.53E-11,1.91E-11,,1.94E+00,,-1.943,,1.88E-11,,,,,,,,,,6.47E-01,-6.47E-01,1.54E-11
1.49E-11,,,,,,,,,,,,1.30E+00,,-1.3,,1.69E-11,,,,,,,,,,0.00E+00,0.00E+00,1.49E-11
8.92E-12,,,,,,,,,,,,6.48E-01,,-0.6479,,1.91E-11,,,,,,,,,,0.00E+00,0.00E+00,8.92E-12
1.85E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.50E-01,6.50E-01,1.85E-11
3.77E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,3.77E-11
2.97E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.97E-11
1.97E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,1.97E-11
7.20E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,7.20E-11
2.50E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.50E-11
