4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
-1.47E-13,3.46E-14,2.9E-14,1.1E-13,1.53E-13,1.38E-13,7.16E-13,8.45E-14,-2.69E-12,2.59E-13,-1.31E-13,,2.87E-06,,1.65106E-06,,6.41E-12,,,,,,,,,,1.45E-07,-3.79E-08,-1.47E-13
-1.03E-13,6.44E-14,1.69E-13,1.74E-13,1.98E-13,2.4E-13,-1.29E-12,5.05E-12,4.44E-11,3.57E-13,4.93E-12,,3.01E-06,,1.67647E-06,,6.52E-12,,,,,,,,,,1.29E-07,-2.64E-08,-1.03E-13
-8.40E-15,1.39E-13,1.73E-13,2.42E-13,2.61E-13,2.27E-13,-9.85E-12,1.64E-13,6.05E-11,2.9E-13,5.21E-12,,2.42E-07,,-3.3684E-08,,-1.31E-13,,,,,,,,,,1.46E-07,-2.14E-09,-8.40E-15
3.46E-14,1.86E-13,2.42E-13,2.32E-13,2.7E-13,3.92E-13,-8.48E-12,-1.83E-12,2.29E-11,4.44E-13,1.44E-12,,2.27E-06,,1.26508E-06,,4.93E-12,,,,,,,,,,1.33E-07,8.88E-09,3.46E-14
1.70E-13,,,,,,,,,,,,3.12E-06,,1.34436E-06,,5.21E-12,,,,,,,,,,1.58E-07,4.37E-08,1.70E-13
-3.51E-13,,,,,,,,,,,,1.57E-06,,3.67668E-07,,1.44E-12,,,,,,,,,,1.51E-07,-9.04E-08,-3.51E-13
1.53E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.36E-07,3.94E-08,1.53E-13
2.53E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.62E-07,6.55E-08,2.53E-13
2.94E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.50E-07,7.56E-08,2.94E-13
4.23E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.82E-07,1.09E-07,4.23E-13
3.94E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.74E-07,1.02E-07,3.94E-13
5.34E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.30E-07,1.38E-07,5.34E-13
5.07E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.18E-07,1.31E-07,5.07E-13
7.81E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.35E-07,2.01E-07,7.81E-13
6.75E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.90E-07,1.74E-07,6.75E-13
5.89E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.53E-07,1.52E-07,5.89E-13
2.64E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.13E-07,6.80E-08,2.64E-13
-2.94E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.26E-07,-7.59E-08,-2.94E-13
-3.80E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.63E-07,-9.80E-08,-3.80E-13
-4.59E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.97E-07,-1.18E-07,-4.59E-13
-6.07E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.61E-07,-1.57E-07,-6.07E-13
-8.87E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.82E-07,-2.29E-07,-8.87E-13
-8.23E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E-07,-2.12E-07,-8.23E-13
-9.73E-13,,,,,,,,,,,,,,,,,,,,,,,,,,4.19E-07,-2.51E-07,-9.73E-13
-8.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.63E-07,-2.18E-07,-8.44E-13
-8.44E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.63E-07,-2.18E-07,-8.44E-13
-6.84E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.65E-07,-1.76E-07,-6.84E-13
-8.98E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.86E-07,-2.32E-07,-8.98E-13
