Voltage,Abs_J (Current Density),J (Current Density),Current,Time
1.00E-01,1.30E+00,1.30E+00,5.04E-06,7.48E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,7.50E+01
2.00E-01,2.60E+00,2.60E+00,1.01E-05,7.51E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,7.57E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,7.59E+01
3.50E-01,4.54E+00,4.54E+00,1.76E-05,7.61E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,7.63E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,7.65E+01
5.00E-01,6.48E+00,6.48E+00,2.51E-05,7.67E+01
5.00E-01,6.48E+00,6.48E+00,2.51E-05,7.69E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,7.70E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,7.72E+01
3.50E-01,4.54E+00,4.54E+00,1.76E-05,7.74E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,7.76E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,7.78E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,7.80E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,7.84E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,7.86E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,7.87E+01
0.00E+00,4.09E-05,4.09E-05,1.59E-10,7.93E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,8.01E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,8.03E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,8.05E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,8.07E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,8.13E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,8.14E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,8.16E+01
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,8.18E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,8.20E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,8.22E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,8.24E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,8.26E+01
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,8.28E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,8.30E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,8.31E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,8.33E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,8.35E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,8.39E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,8.41E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,8.43E+01
0.00E+00,3.02E-05,3.02E-05,1.17E-10,8.49E+01
0.00E+00,2.94E-05,2.94E-05,1.14E-10,8.51E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,8.58E+01
1.00E-01,1.30E+00,1.30E+00,5.04E-06,8.60E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,8.62E+01
2.00E-01,2.60E+00,2.60E+00,1.01E-05,8.64E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,8.70E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,8.72E+01
3.50E-01,4.54E+00,4.54E+00,1.76E-05,8.74E+01
4.00E-01,5.19E+00,5.19E+00,2.01E-05,8.76E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,8.77E+01
5.00E-01,6.48E+00,6.48E+00,2.51E-05,8.79E+01
5.00E-01,6.48E+00,6.48E+00,2.51E-05,8.81E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,8.83E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,8.85E+01
3.50E-01,4.54E+00,4.54E+00,1.76E-05,8.87E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,8.89E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,8.91E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,8.92E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,8.96E+01
1.00E-01,1.30E+00,1.30E+00,5.04E-06,8.98E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,9.00E+01
0.00E+00,7.49E-06,7.49E-06,2.91E-11,9.13E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,9.21E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,9.23E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,9.25E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,9.26E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,9.32E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,9.34E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,9.36E+01
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,9.38E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,9.40E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,9.42E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,9.44E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,9.45E+01
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,9.47E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,9.49E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,9.51E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,9.53E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,9.55E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,9.59E+01
-1.00E-01,1.30E+00,-1.30E+00,-5.02E-06,9.60E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,9.62E+01
0.00E+00,4.05E-05,4.05E-05,1.57E-10,9.68E+01
0.00E+00,2.60E-05,2.60E-05,1.01E-10,9.70E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,9.78E+01
1.00E-01,1.30E+00,1.30E+00,5.04E-06,9.80E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,9.82E+01
2.00E-01,2.60E+00,2.60E+00,1.01E-05,9.84E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,9.89E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,9.91E+01
3.50E-01,4.54E+00,4.54E+00,1.76E-05,9.93E+01
4.00E-01,5.19E+00,5.19E+00,2.01E-05,9.95E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,9.97E+01
5.00E-01,6.48E+00,6.48E+00,2.51E-05,9.99E+01
5.00E-01,6.48E+00,6.48E+00,2.51E-05,1.00E+02
4.50E-01,5.83E+00,5.83E+00,2.26E-05,1.00E+02
4.00E-01,5.18E+00,5.18E+00,2.01E-05,1.00E+02
3.50E-01,4.54E+00,4.54E+00,1.76E-05,1.01E+02
3.00E-01,3.89E+00,3.89E+00,1.51E-05,1.01E+02
2.50E-01,3.24E+00,3.24E+00,1.26E-05,1.01E+02
2.00E-01,2.59E+00,2.59E+00,1.01E-05,1.01E+02
1.50E-01,1.95E+00,1.95E+00,7.55E-06,1.02E+02
1.00E-01,1.30E+00,1.30E+00,5.04E-06,1.02E+02
5.00E-02,6.50E-01,6.50E-01,2.52E-06,1.02E+02
0.00E+00,1.04E-05,1.04E-05,4.03E-11,1.03E+02
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,1.04E+02
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,1.04E+02
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,1.04E+02
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,1.05E+02
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,1.05E+02
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,1.05E+02
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,1.06E+02
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,1.06E+02
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,1.06E+02
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,1.06E+02
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,1.06E+02
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,1.07E+02
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,1.07E+02
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,1.07E+02
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,1.07E+02
